ID   | Date                    | Master Debe | Backup Debe | Master Haber | Backup Haber | Master Saldo | Backup Saldo
------------------------------------------------------------------------------------------------------------------------
 277 | 2026-04-02 16:33:30.270086 | 23.55       | 23.55       | 0.00         | 0.00         | -23.55       | -23.55             
 286 | 2026-04-03 09:04:10.568271 | 1.00        | 1.00        | 0.00         | 0.00         | -24.55       | -24.55             
 290 | 2026-04-03 10:05:07.344880 | 3.93        | 3.93        | 0.00         | 0.00         | -28.48       | -28.48             
 291 | 2026-04-03 17:14:15.464785 | 3.93        | 3.93        | 0.00         | 0.00         | -32.41       | -32.41             
 309 | 2026-04-04 08:33:19.506616 | 3.17        | 3.17        | 0.00         | 0.00         | -35.58       | -35.58             
 324 | 2026-04-04 12:03:55.908383 | 0.00        | 0.00        | 0.00         | 0.00         | -35.58       | -35.58             
 338 | 2026-04-05 10:13:58.596391 | 4.77        | 4.77        | 0.00         | 0.00         | -40.35       | -40.35             
 346 | 2026-04-05 10:44:24.670639 | 5.00        | 5.00        | 0.00         | 0.00         | -45.35       | -45.35             
 354 | 2026-04-05 12:33:53.930007 | 0.00        | 0.00        | 0.00         | 0.00         | -45.35       | -45.35             
 369 | 2026-04-06 07:42:35.674985 | 1.32        | 1.32        | 0.00         | 0.00         | -46.67       | -46.67             
 372 | 2026-04-06 07:48:07.720970 | 3.84        | 3.84        | 0.00         | 0.00         | -50.51       | -50.51             
 386 | 2026-04-06 14:56:03.245148 | 0.96        | 0.96        | 0.00         | 0.00         | -51.47       | -51.47             
 406 | 2026-04-07 17:25:53.148672 | 9.40        | 9.40        | 0.00         | 0.00         | -60.87       | -60.87             
 421 | 2026-04-08 08:57:02.735765 | 8.83        | 8.83        | 0.00         | 0.00         | -69.70       | -69.70             
 422 | 2026-04-08 08:58:23.025035 | 4.21        | 4.21        | 0.00         | 0.00         | -73.91       | -73.91             
 435 | 2026-04-09 07:25:30.149771 | 6.40        | 6.40        | 0.00         | 0.00         | -80.31       | -80.31             
 443 | 2026-04-10 07:21:24.955063 | 4.21        | 4.21        | 0.00         | 0.00         | -84.52       | -76.10        *DIFF*
 444 | 2026-04-10 07:49:44.710635 | 0.66        | 0.66        | 0.00         | 0.00         | -85.18       | -76.76        *DIFF*
 448 | 2026-04-10 18:26:55.444984 | 0.00        | 0.00        | 0.00         | 0.00         | -85.18       | -76.76        *DIFF*
 457 | 2026-04-10 18:47:16.887855 | 0.42        | 0.42        | 0.00         | 0.00         | -85.60       | -117.18       *DIFF*
 463 | 2026-04-11 08:48:26.450592 | 4.43        | 4.43        | 0.00         | 0.00         | -90.03       | -121.61       *DIFF*
 475 | 2026-04-12 07:51:17.507390 | 10.66       | 10.66       | 0.00         | 0.00         | -100.69      | -132.27       *DIFF*
 493 | 2026-04-12 14:23:29.638984 | 4.36        | 4.36        | 0.00         | 0.00         | -105.05      | -136.63       *DIFF*
 504 | 2026-04-13 07:28:57.870748 | 2.64        | 2.64        | 0.00         | 0.00         | -107.69      | -139.27       *DIFF*
 508 | 2026-04-13 08:19:50.439038 | 2.00        | 2.00        | 0.00         | 0.00         | -109.69      | -141.27       *DIFF*
 515 | 2026-04-13 11:58:16.745874 | 160.00      | 160.00      | 0.00         | 0.00         | -269.69      | 18.73         *DIFF*
 518 | 2026-04-13 12:08:08.768911 | 3.33        | 3.33        | 0.00         | 0.00         | -273.02      | 15.40         *DIFF*
 519 | 2026-04-13 12:08:26.792647 | 0.88        | 0.88        | 0.00         | 0.00         | -273.90      | 14.52         *DIFF*
 523 | 2026-04-13 18:06:01.355527 | 3.38        | 3.38        | 0.00         | 0.00         | -277.28      | 11.14         *DIFF*
 526 | 2026-04-13 18:11:10.646783 | 2.00        | 2.00        | 0.00         | 0.00         | -279.28      | 13.14         *DIFF*
